Date,Montant Dette,APR,Taux Journalier,Interet Journalier,Interet Cumule,Transaction
2024-11-24,162785600.599315,11.881759%,0.032553%,52973.970041,5524093.355081,
2024-11-25,162834941.441684,11.063268%,0.030310%,49340.842369,5573434.197450,
2024-11-26,162886339.233743,11.520988%,0.031564%,51397.792059,5624831.989509,
2024-11-27,162937178.368839,11.392167%,0.031211%,50839.135097,5675671.124606,
2024-11-28,162990140.909120,11.864283%,0.032505%,52962.540280,5728633.664886,
2024-11-29,163044725.190745,12.223600%,0.033489%,54584.281625,5783217.946512,
2024-11-30,163103377.840871,13.130273%,0.035973%,58652.650126,5841870.596637,
2024-12-01,163154986.184079,11.549145%,0.031641%,51608.343208,5893478.939845,
2024-12-02,163204114.626842,10.990704%,0.030112%,49128.442764,5942607.382609,
2024-12-03,163250402.373931,10.352084%,0.028362%,46287.747089,5988895.129698,
2024-12-04,163297906.127685,10.621027%,0.029099%,47503.753753,6036398.883451,
2024-12-05,163352593.874573,12.223689%,0.033490%,54687.746889,6091086.630340,
2024-12-06,163401959.446939,11.030394%,0.030220%,49365.572365,6140452.202705,
2024-12-07,163455736.610696,12.012503%,0.032911%,53777.163758,6194229.366463,
2024-12-08,163510042.761914,12.126675%,0.033224%,54306.151217,6248535.517680,
2024-12-09,163563454.899782,11.923078%,0.032666%,53412.137868,6301947.655548,
2024-12-10,163614402.218217,11.369148%,0.031148%,50947.318435,6352894.973983,
2024-12-11,163668769.309079,12.128509%,0.033229%,54367.090863,6407262.064846,
2024-12-12,163726851.657537,12.953025%,0.035488%,58082.348457,6465344.413303,
2024-12-13,163788579.251407,13.761073%,0.037702%,61727.593871,6527072.007174,
2024-12-14,163847780.127401,13.192812%,0.036145%,59200.875994,6586272.883168,
2024-12-15,163901187.325072,11.897401%,0.032596%,53407.197671,6639680.080839,
2024-12-16,163954558.365814,11.885472%,0.032563%,53371.040741,6693051.121580,
2024-12-17,163999364.949353,9.974961%,0.027329%,44806.583539,6737857.705119,
2024-12-18,164043271.623472,9.771950%,0.026772%,43906.674119,6781764.379239,
2024-12-19,164097557.782630,12.078794%,0.033093%,54286.159158,6836050.538397,
2024-12-20,164167543.141782,15.566750%,0.042649%,69985.359152,6906035.897549,
2024-12-21,164235496.752025,15.108387%,0.041393%,67953.610242,6973989.507791,
2024-12-22,164296952.041743,13.657937%,0.037419%,61455.289719,7035444.797510,
2024-12-23,164352249.980674,12.284919%,0.033657%,55297.938930,7090742.736440,
2024-12-24,164396134.429124,9.746032%,0.026701%,43884.448451,7134627.184891,
2024-12-25,164443068.474179,10.420517%,0.028549%,46934.045054,7181561.229945,
2024-12-26,164488769.293139,10.143814%,0.027791%,45700.818960,7227262.048906,
2024-12-27,164538555.095786,11.047452%,0.030267%,49785.802647,7277047.851552,
2024-12-28,164584669.975313,10.229779%,0.028027%,46114.879527,7323162.731079,
2024-12-29,164633844.280550,10.905403%,0.029878%,49174.305237,7372337.036316,
2024-12-30,164678471.840857,9.894114%,0.027107%,44627.560307,7416964.596624,
2024-12-31,164726449.733132,10.634013%,0.029134%,47977.892275,7464942.488899,
2025-01-01,164778163.872792,11.458792%,0.031394%,51714.139660,7516656.628559,
2025-01-02,164830512.897156,11.595829%,0.031769%,52349.024364,7569005.652923,
2025-01-03,164884089.245270,11.863924%,0.032504%,53576.348113,7622582.001036,
2025-01-04,164934262.815621,11.106804%,0.030430%,50173.570351,7672755.571387,
2025-01-05,164986774.663151,11.620887%,0.031838%,52511.847531,7725267.418918,
2025-01-06,165037779.875012,11.283876%,0.030915%,51005.211861,7776272.630779,
2025-01-07,165085058.156586,10.456135%,0.028647%,47278.281573,7823550.912352,
2025-01-08,165134060.787744,10.834391%,0.029683%,49002.631158,7872553.543510,
2025-01-09,165181646.382232,10.517965%,0.028816%,47585.594489,7920139.137999,
2025-01-10,165234678.592571,11.718467%,0.032105%,53032.210339,7973171.348338,
2025-01-11,165281029.674105,10.238858%,0.028052%,46351.081534,8019522.429871,
2025-01-12,165333066.202514,11.491538%,0.031484%,52036.528409,8071558.958281,
2025-01-13,165389409.289663,12.438665%,0.034079%,56343.087148,8127902.045429,
2025-01-14,165445549.841546,12.389730%,0.033944%,56140.551883,8184042.597312,
2025-01-15,165494586.692284,10.818333%,0.029639%,49036.850739,8233079.448051,
2025-01-16,165541455.774624,10.337024%,0.028321%,46869.082340,8279948.530391,
2025-01-17,165590613.277349,10.838668%,0.029695%,49157.502725,8329106.033115,
